,内定予想,退職予想,個人ｺｰﾄﾞ,氏名,分類,区分,世代,性別,信頼係数,思索型：内閉性,思索型：客観性,活動型：身体性,活動型：気分性,努力型：持続性,努力型：規則性,積極型：競争性,積極型：自尊心,自制型：慎重性,自制型：弱気さ,日常周辺事型,客観・科学型,社会・経済型,心理・情緒型,審美・芸術型,積極性,協調性,責任感,自己信頼性,指導性,共感性,感情安定性,従順性,自主性,ﾓﾗﾄﾘｱﾑ傾向,達成欲求,親和欲求,求知欲求,顕示欲求,秩序欲求,物質的欲望,危機耐性,自律欲求,支配欲求,勤労意欲,自己：積極実行,自己：意欲熱意,自己：根気強さ,自己：責任感,自己：決断勇気,自己：指導力,自己：リーダー,自己：自己信頼,自己：調整力,自己：折衝力,自己：独創斬新,自己：現状分析,自己：洞察力,自己：企画立案,自己：専門知識,自己：情報活用,定着・安定,判定結果,ﾊﾟｰｿﾅﾘﾃｨｽｹｯﾁ,一般的,精神力,足　腰,集中力,標準化,適性の幅,対人ストレス耐性,目標ストレス耐性,繁忙ストレス耐性,拘束ストレス耐性,総合ストレス耐性,適合度,内定有無,No.
163,非内定,退職,,,新卒,,２０〜２５才,1,81,45,63,61,38,82,51,50,27,61,49,47,47,50,40,66,69,56,82,59,76,63,65,58,51,44,71,58,66,68,64,73,86,42,64,75,100,100,100,100,80,100,100,80,100,100,80,100,100,100,100,100,25,0,どちらかといえば、性格的な派手さはなく地味なほうだといえる。一度はじめたことは時間がかかっても途中で投げ出すことはなく、持続させていくことができる。努力を信条としていて、自分が納得いくまで取り組まないと気がすまない性分であり、何事も徹底的に追求しようとする。そして、自分なりに確たる信念や社会通念を持っているのだが、規則や秩序に対して頑固にこだわるというほどではない。発想は堅苦しいものばかりではなく、ユニークさも持ちあわせていて、独自の価値観のもとで自発的、自主的な組立をして考え判断する。また、思い立ったらすぐ実行に移すという身軽さより、物事は自分の納得がいくまでじっくりと考えてから行動する。決して自己の世界に閉じこもり暗いという印象はなく、社会性も持ちあわせている。交友関係もほどほどにあり、考え方も現実的で自分なりに社会的アンテナも張っている。自分を深く内省していて、豊かな内面性をもっている。そして、客観的なものの見方ができ、正確に状況を把握しようとする。,77,72,66,72,74,79,53,70,74,54,65,0,,
164,非内定,在職,,,新卒,,２０〜２５才,1,65,65,67,39,63,48,44,59,41,61,59,33,47,34,49,87,55,44,51,53,66,50,45,55,51,57,49,54,68,52,41,50,44,49,56,44,80,100,80,100,100,80,100,80,100,80,80,40,60,60,40,80,-2,3,自分の世界を大事にして、外界のことに興味がうすい。他人と接触することが面倒であり、交友関係なども進んで持とうとはしない。審美的な生きかたをしていて、自分の信じる価値観のなかで生活している。交友関係は狭いが、つきあいはじめれば深くなる。自分もふくめて環境をあるがままに客観的にとらえようとする傾向がつよく、ものごとをキチンと把握しようとする。人情的にのめりこまず、冷たい印象を他人に与えることがあるが、自分自身について深く内省しているといえ、豊かな内面性をもつ。,40,33,36,46,33,36,43,46,47,51,44,0,,
165,非内定,在職,,,新卒,,２０〜２５才,1,100,27,63,74,42,75,58,55,41,61,39,50,40,34,49,66,74,65,76,67,76,77,61,55,51,41,64,73,60,73,68,80,72,49,72,78,100,100,100,100,100,100,100,100,100,100,80,100,100,100,100,40,17,0,几帳面であり手掛けたことはとことん追求する徹底性もみられる。しかし、几帳面といっても、細かいことまでこだわるというより全体のまとまりを見たり、また、整理整頓は好ましいことだと思っていても、いつもきれいでなければ気がすまないというほどではない。物事の判断のしかたは、堅実というイメージであるが、ときに突発的な発想をしたりもする。行動力もあり、身軽で多少の困難にも粘り強い姿勢で対応することができる。ただ、規則や秩序を大切にしている常識家であり、決定事項などは必ず守るといった社会通念が強いあまり、お堅い人との印象を与えることもある。新しい環境などには比較的とけこむのが早く適応力がある。初対面では馴染みにくそうに思われることもあるが、本人は誰とでも気軽に話すことができ、すぐに親しくなれるような庶民的な雰囲気がある。精神的にもわりと安定していて、常に自分のリズムを一定に保つことができる。世話好きで親切な側面もあり、集団のリーダー格として活躍できる可能性をもっている。,80,77,73,73,76,85,65,68,71,48,63,0,,
166,非内定,退職,,,新卒,,２０〜２５才,0,51,61,63,43,59,56,51,41,37,73,78,40,60,46,52,53,33,35,51,24,50,50,32,52,47,73,52,54,47,46,52,61,42,46,38,44,60,80,100,80,100,100,100,80,80,80,80,80,80,60,80,100,-1,3,過信せず、見通しがつくまで動かない慎重さがこの人の本質である。思いやりがあり、自分をおさえる良さがあるが、問題がおこると自罰的傾向をとり、くよくよと取り越し苦労する面も。気弱で引っ込み思案の人である。自分に自信がなく、快活な面がみられない。神経が細かく過敏な性格で、人前では緊張してかたくなりがちである。余裕がなくなると、多少不安定な行動をとる可能性もでる。一般的にはまじめで一途な人が多いが、柔軟性に欠けおおらかさがない。,44,29,35,47,39,30,43,41,40,56,33,0,,
167,内定,在職,,,新卒,,２０〜２５才,1,18,51,59,46,47,50,44,50,50,53,46,50,53,34,43,66,57,61,66,50,59,59,49,50,54,54,45,65,54,60,52,61,53,49,56,50,80,80,80,80,40,80,100,60,80,60,60,100,80,60,20,40,2,2,いろいろな人の集まる輪のなかで、自分から話をするというのではなく、聞き上手な方にまわり、自分のための情報収集をするタイプ。しかし、自分にあった環境や、同じような価値観の持主、気の合った仲間のなかでは、豊かな内面性を自ら積極的に発揮させる。また、独自の内面的世界を重要視していて、周囲のことはあまり気にしないという面がある。しかし、一般的に言われる他人への気配りは見られ、社会への関心はある。どちらかといえば、物事をさめた眼でみつめる方であり、環境をあるがままに客観的にとらえようとしていて、意見の口外は少ないにせよ、頭のなかではじっくりと考えた的確な判断をしている。また、自信がもてるまで、行動に移さない慎重性も認められる。これは、自ら外にうってでるような冒険や果敢な行動をしないための結果といえる。おおきな失敗をしない手堅さとしては評価できるのだが、逆に失敗に対する不安を考えすぎる傾向もあり、良いものがあるのに、できることだけを小さく表現してしまう欠点でもある。,48,44,46,42,53,49,55,51,56,48,50,0,,
168,非内定,退職,,,新卒,,２０〜２５才,0,100,78,67,26,24,56,48,71,45,81,46,36,53,50,52,53,33,22,71,47,50,36,53,43,59,44,71,25,47,68,55,43,42,49,56,24,100,100,100,80,40,80,60,80,20,100,100,80,100,80,80,100,4,3,見通しがつくまで動かない慎重さが本質といえる。物事を軽率に判断したり、現実以上に高く評価するようなことも少ない。また、思いやりがあり自分を抑えるよさがあるが、なにか問題が起こると自罰的になり、いつまでもクヨクヨとしてしまう弱気なところもある。控えめな性格であり、自分にできることだけを小さく内々に表現しようとし、失敗したときのことを心配しすぎて、思いきった果敢な行動には移れない。遠慮がちではあるが、病的な暗さというほどではない。また、煩わしい人間関係はできるだけ避けていたいと考えている。どちらかといえば、周囲のことをあれこれと考えるよりも自己の世界に内閉し、その世界をより充実させたいと望み、美的な生き方をしようとしている。なんとなくつかみどころのない漂々とした生活ぶりで、空想癖があったりもする。物事をあるがままに客観的にとらえようとする傾向より、やや主観的に判断することのほうが多い。自分に自信をもち、もう少し図太さなどがあると持ち味の慎重特性がいきてくる。,54,38,37,51,40,50,27,54,51,46,54,0,,
169,内定,退職,,,新卒,,２０〜２５才,1,52,58,59,46,20,78,51,38,32,69,54,59,53,38,46,46,46,52,76,47,47,43,61,55,47,47,55,44,47,46,68,64,50,52,45,47,80,100,100,100,80,100,100,80,80,100,60,80,60,80,40,100,21,1,単調な作業であっても、飽きずに長時間こなせる持続性がある。努力と忍耐をもって、目標に向かっていくといった傾向がある。一事に没頭する徹底性がみられ、人からはそれがしつこいと思われることもあるほどで、夢中になると他のことには目がいかなくなるところがある。几帳面だが、ガンコで堅物との印象もあり、社会の秩序を乱す行動は慎み、通俗的な道徳観の持ち主で、物事の判断もそれに沿ったものになる。とはいえ、規則やしきたりにこだわりすぎるというわけではなく、いつも普通の人でありたいと思う願望が常識的な行動をとらせている。また、状況を鵜呑みにせず、先が見えるまでアクションを起こさないという慎重さも本質のひとつである。感情を抑え、落ち着いた雰囲気で信頼される。しかし、問題が起こったりすると、小さなミスでもいつまでも気にかけたり、他の人はとっくに忘れてしまうような失敗を、いつまでも忘れられず悩んだりするところもある。できることだけを小さくまとめるため、思いきった積極的な行動はしない。,64,45,44,69,62,51,44,54,59,55,58,0,,
170,非内定,在職,,,新卒,,２０〜２５才,1,53,71,55,36,38,42,44,50,50,65,51,62,50,42,40,41,36,31,46,38,44,36,49,43,54,50,49,33,41,43,47,50,42,56,56,33,60,60,60,60,80,80,60,60,60,80,60,80,80,80,40,40,-3,4,自分と違った価値観や周囲の雑音にはあまり興味をしめさない。そして、自らが進んで他人との接触を好むというタイプではないが、いったん付き合うとその交友関係を大切にする。それは、価値観の違う大勢の人といるよりも、一人でいる、または気の合った仲間と一緒にいるほうに喜びを感じるということである。どちらかといえば、審美的な生き方をしていて、豊かな内面性をそなえ、自分自身をよく内省している人であることがわかる。そして、状況をあるがままに客観的にとらえ、じっくりと経過と結果の両方向から考える傾向が強く、物事をキチンと把握することができる。そのためか最初のうちは人に冷たいとか、わかりづらいという印象を与えてしまうことがあるが、付き合ってみると思いやりがあり、心やさしい人柄であることがわかる。また、軽はずみな行動は少なく、見通しがつくまで動かない慎重さや手堅さは評価できる。しかし考えすぎるため、大胆な発想をしたり突発的な行動をとることがないので、おもしろさには欠けてしまう。,34,24,27,43,36,26,34,44,43,45,48,0,,
171,非内定,退職,,,新卒,,２０〜２５才,1,51,58,50,46,42,66,48,53,37,78,49,50,60,50,49,41,57,52,71,50,66,50,49,52,59,38,55,41,51,55,64,64,61,52,64,54,100,100,100,100,80,100,100,40,100,60,60,80,60,80,60,60,15,1,他の人がなんと言おうと自分で確信がもてるまで、決して行動には移さない慎重なところがある。軽はずみな行動は少なく、落ち着いた雰囲気と信頼感がある。また、努力を信条とし、何事も丹念に取り組んでいこうとする。出だしはそれほどでもないが、いつまでも持続させることができる。生活ぶりもキチンとしていて、物事は計画書を書いて実行するようなマメな人である。しかし、あくまでも一つのことに執着する頑固さではなく融通性も持っている。それほど規則や秩序を気にするわけでなく、状況に応じた判断ができる。世間の常識はわきまえていても、四角四面で固定的なものでなく、よき社会人として模範的な見方をされる。しかし、慎重であるがゆえ、問題が起こると必要以上に自分を責めることがある。その後は二度と同じ失敗をしないように考えすぎて、行動は控えめになることがある。もう少し、図太さがあり積極的にうってでるところがあると安心して見ていられるリーダーになる。しかし、手堅さや慎重さなど評価できる部分は多い。,62,58,49,63,58,59,47,55,61,48,56,0,,
172,非内定,退職,,,新卒,,２０〜２５才,0,100,35,59,61,38,75,36,55,41,53,37,43,40,46,40,66,74,70,61,67,76,59,65,43,62,28,60,62,57,73,50,64,82,63,67,78,100,100,100,100,100,100,100,80,100,100,100,100,100,100,60,40,17,0,努力を信条とし、目標に向けて一生懸命に励む性格である。手掛けた事は丁寧に処理しキチンとしている。途中であきらめてしまうことは少なく、物事には粘り強く取り組んでいく忍耐力もある。見方によっては、それが執念深さとしてうつることもある。そして、独自の価値観にそった判断をしているが、発想は堅苦しいものばかりではなく、ユニークさも持ちあわせている。自分の考えはあらかじめ用意しているが、いろいろな計画を立てるときは、自分だけの勝手な判断で決定するのではなく、他人の意見も取入れながら考えていこうとする。また、身が軽く体を動かして物事を解決していくところもある。だからといって、思いついたら何も考えずに即実行といった軽薄さや、気分で行動したりすることは少ないため大きな失敗はあまりない。新しい環境の変化にもそれほど時間をかけずに適応することができる。場や雰囲気にのまれることなく、精神的にも安定している。まれに感情的になってしまうこともあるが、人情もろくてお人好しな性格である。,59,78,74,62,58,84,59,70,71,42,69,0,,
173,内定,在職,,,新卒,,２０〜２５才,1,45,58,50,49,47,59,44,53,50,69,49,33,53,50,46,66,50,40,61,44,44,43,32,46,54,41,71,37,66,50,52,57,53,42,34,61,60,100,80,60,60,40,100,60,100,60,60,80,80,60,80,60,7,2,他の人がなんと言おうと自分で確信がもてるまで、決して行動には移さない慎重なところがある。軽はずみな行動は少なく、落ち着いた雰囲気と信頼感がある。また、努力を信条とし、何事も丹念に取り組んでいこうとする。出だしはそれほどでもないが、いつまでも持続させることができる。生活ぶりもキチンとしていて、物事は計画書を書いて実行するようなマメな人である。しかし、あくまでも一つのことに執着する頑固さではなく融通性も持っている。それほど規則や秩序を気にするわけでなく、状況に応じた判断ができる。世間の常識はわきまえていても、四角四面で固定的なものでなく、よき社会人として模範的な見方をされる。しかし、慎重であるがゆえ、問題が起こると必要以上に自分を責めることがある。その後は二度と同じ失敗をしないように考えすぎて、行動は控えめになることがある。もう少し、図太さがあり積極的にうってでるところがあると安心して見ていられるリーダーになる。しかし、手堅さや慎重さなど評価できる部分は多い。,52,40,44,52,42,48,42,55,54,53,48,0,,
174,非内定,退職,,,新卒,,２０〜２５才,0,81,38,47,58,59,56,36,55,50,53,37,50,53,38,43,62,66,61,61,56,66,59,53,43,57,38,55,54,57,60,44,50,65,52,60,66,100,80,80,100,80,100,100,80,80,80,80,80,80,60,40,100,6,1,身が軽く思いたったことを素早く実行に移すことができる。行動はテキパキしていて、体を動かして物事を解決していく人。また、環境への適応力があり、状況の変化にたやすくついていけ、慎重性をともなえば良いリ−ダ−になりうる人材である。調子に乗れば仕事は早いが、気分屋な所があり、元気よく仕事をしていたかと思うと静かにちんまりとしていることがある。人間的には温かくて人なつこい性格で、世話好きな面がみられる。ただ、長続きしない所があり、多少のケア−が必要かもしれない。,47,69,65,53,53,73,57,57,62,44,55,0,,
175,非内定,在職,,,新卒,,２０〜２５才,0,74,68,42,30,54,33,48,38,41,47,59,47,60,38,52,36,46,52,36,47,47,59,53,62,39,59,43,65,50,43,44,47,48,35,49,47,80,80,60,100,40,60,100,40,80,40,80,60,60,40,100,100,1,3,自分の世界に入り込み、周りのことに関心をしめさないような内閉的な傾向がみられる。外界のことへの興味よりも、空想的場面のなかで、あれこれ思いをめぐらせているほうが心地よく感じている。あまりテキパキと動き回ることはなく、一見すると、つかみどころがないとか冷たいという印象を他人に与えてしまうことがあるが、本質は思いやりがあり、心やさしい人柄といえる。また、自分自身について深く内省していて、自分を含めた環境をあるがままに客観的にとらえようとする傾向があり、物事をしっかりと把握している。行動面としては、過信したり過大な評価をせず、確実な見通しがつくまで動かないという慎重なところがある。しかしそれは、引っ込み思案で、控え目な性格であるためだといえる。自分にできることだけを、小さく内々に表現しようとする。遠慮がちで、思い切って果敢な行動にうつれず、人の後ろにつきたがる気弱さがある。人前で緊張したり、気持ちに余裕がなくなる状況になると、多少不安定な行動をとる可能性がある。,45,25,31,37,41,20,53,45,40,59,47,0,,
176,非内定,在職,,,新卒,,２０〜２５才,1,74,51,50,54,50,72,51,53,53,78,46,47,60,30,55,50,57,52,71,53,56,59,41,55,50,50,68,54,62,57,61,73,50,49,60,54,80,100,80,100,80,80,100,80,100,80,60,100,100,100,80,100,8,1,他の人がなんと言おうと自分で確信がもてるまで、決して行動には移さない慎重なところがある。軽はずみな行動は少なく、落ち着いた雰囲気と信頼感がある。また、努力を信条とし、何事も丹念に取り組んでいこうとする。出だしはそれほどでもないが、いつまでも持続させることができる。生活ぶりもキチンとしていて、物事は計画書を書いて実行するようなマメな人である。しかし、あくまでも一つのことに執着する頑固さではなく融通性も持っている。それほど規則や秩序を気にするわけでなく、状況に応じた判断ができる。世間の常識はわきまえていても、四角四面で固定的なものでなく、よき社会人として模範的な見方をされる。しかし、慎重であるがゆえ、問題が起こると必要以上に自分を責めることがある。その後は二度と同じ失敗をしないように考えすぎて、行動は控えめになることがある。もう少し、図太さがあり積極的にうってでるところがあると安心して見ていられるリーダーになる。しかし、手堅さや慎重さなど評価できる部分は多い。,67,57,53,59,63,58,52,55,60,48,48,0,,
177,内定,在職,,,新卒,,２０〜２５才,0,42,54,50,49,54,42,51,38,50,57,57,56,57,38,52,41,44,52,51,41,50,59,41,52,47,51,43,58,50,46,47,35,44,46,49,47,60,80,60,60,60,80,100,20,60,40,60,60,40,80,60,60,-1,3,過信せず、見通しがつくまで動かない慎重さがこの人の本質である。思いやりがあり、自分をおさえる良さがあるが、問題がおこると自罰的傾向をとり、くよくよと取り越し苦労する面も。気弱で引っ込み思案の人である。自分に自信がなく、快活な面がみられない。神経が細かく過敏な性格で、人前では緊張してかたくなりがちである。余裕がなくなると、多少不安定な行動をとる可能性もでる。一般的にはまじめで一途な人が多いが、柔軟性に欠けおおらかさがない。,41,29,37,37,46,31,53,44,44,52,44,0,,
178,内定,退職,,,新卒,,２０〜２５才,0,81,35,47,64,50,72,48,38,37,34,42,36,63,38,35,66,62,61,71,47,62,55,32,50,51,33,52,58,54,57,47,50,72,56,64,54,100,100,100,100,100,100,100,100,100,100,100,100,100,100,60,80,9,2,努力を信条とし、目標に向けて一生懸命に励む性格である。手掛けた事は丁寧に処理しキチンとしている。途中であきらめてしまうことは少なく、物事には粘り強く取り組んでいく忍耐力もある。見方によっては、それが執念深さとしてうつることもある。そして、独自の価値観にそった判断をしているが、発想は堅苦しいものばかりではなく、ユニークさも持ちあわせている。自分の考えはあらかじめ用意しているが、いろいろな計画を立てるときは、自分だけの勝手な判断で決定するのではなく、他人の意見も取入れながら考えていこうとする。また、身が軽く体を動かして物事を解決していくところもある。だからといって、思いついたら何も考えずに即実行といった軽薄さや、気分で行動したりすることは少ないため大きな失敗はあまりない。新しい環境の変化にもそれほど時間をかけずに適応することができる。場や雰囲気にのまれることなく、精神的にも安定している。まれに感情的になってしまうこともあるが、人情もろくてお人好しな性格である。,54,56,50,51,60,57,58,55,67,48,53,0,,
179,非内定,在職,210531014.0,,新卒,,２０〜２５才,1,48,61,55,36,54,45,44,53,53,47,39,36,63,38,43,58,55,48,42,59,56,52,45,50,50,50,64,48,51,50,35,57,50,46,56,47,80,100,80,60,80,80,80,80,100,80,80,100,80,80,40,60,-4,3,自分の世界を大事にして、外界のことに興味がうすい。他人と接触することが面倒であり、交友関係なども進んで持とうとはしない。審美的な生きかたをしていて、自分の信じる価値観のなかで生活している。交友関係は狭いが、つきあいはじめれば深くなる。自分もふくめて環境をあるがままに客観的にとらえようとする傾向がつよく、ものごとをキチンと把握しようとする。人情的にのめりこまず、冷たい印象を他人に与えることがあるが、自分自身について深く内省しているといえ、豊かな内面性をもつ。,37,37,34,49,40,44,46,52,50,49,50,0,,
180,内定,退職,210601001.0,,新卒,,２０〜２５才,1,60,61,50,46,42,69,55,41,45,69,59,50,43,50,35,66,52,52,66,44,56,50,41,55,42,50,55,44,50,50,61,68,57,42,52,57,80,80,80,100,80,80,100,80,80,80,60,80,80,80,60,80,11,1,仕事にも生活にも几帳面で、キチンとしていなければ気がすまないタイプである。手掛け始めたことは、地道にコツコツと努力し、途中で投げ出すことなく最後までやりぬこうとする。徹底性もあり、ときにそれがしつこいという印象になる。常識からはずれた行動をとることなく、あくまでも社会規範に沿った生活を重んじている。そのため杓子定規な判断も多く、斬新さや柔軟さに欠けるきらいがあるが、大きな失敗をしないことは取り柄といえる。また、過信せずある程度の見通しがつくまで行動しない慎重さもある。他人の意見なども自分が納得するまでは、簡単に受け入れることはあまりない。状況の変化に対しては、徹底的に理由を調べてから次の行動へ移ろうとする。そして、自分と他人を比べて考えるようなことはなく、他人には思いやりをもって接しようとしている。よくいえば、自分を抑える良さととれるが、一方では気弱で引っ込み思案であり快活な面がないともいえる。努力型と慎重性、弱気さをもった神経の細かい過敏な性格である。,72,44,43,68,61,46,47,53,57,54,50,0,,
181,非内定,退職,210601002.0,,新卒,,５６才以上,0,69,58,71,54,81,53,51,35,45,53,71,52,53,38,32,58,49,44,42,14,47,47,18,43,42,62,71,51,66,43,47,54,34,46,45,52,100,100,100,40,100,80,60,100,20,80,20,100,80,80,80,60,-12,4,思い付きは早くカンもよいが、物事を実行に移すに際しては、身軽で迅速というほどではない。多少、尻が重たいとの印象があるが、それはじっくりと考えてから行動しようとするためでもある。自己の内面性は豊かで、自分自身を深く内省している。しかし、気分屋なところがあり、張り切って仕事をしていたかと思えば、いつの間にか沈んでいるといったように、感情に起伏が見られる。よく考えた上で決めたことは必ず実行しようとするが、その日の気分や周囲の状況で予定を変更してしまうことがある。また、どのような人が集まる場所でも、その状況にあわせて対応したり、周囲への気遣いを見せたりもするが、本来は広く浅い対人関係などよりも、価値観や考え方のあった友人との付き合いを大切にしたいと感じている。そして、環境を客観的にとらえようとする傾向が強く、物事をしっかりと把握しようとしていて、全体的な調和より細かい部分、結果だけではなく経過までを観察している。発想は着実であり時としておもしろいアイデアもでる。,34,24,31,43,28,27,42,38,41,53,24,0,,
182,非内定,在職,210602001.0,,新卒,,２０〜２５才,1,34,61,47,36,54,50,51,41,45,47,54,52,43,50,40,62,40,40,51,47,44,43,49,62,36,51,49,44,47,43,44,50,42,39,38,42,40,80,80,60,80,60,60,40,60,20,40,60,80,80,60,60,0,4,独自の価値観や考えを大切にし、自己の中にある物差しの中で生きている。自分以外のことにはあまり興味がなく、他人との接触に対しても積極的とはいえない。交友関係などは面倒だと思い、進んで広げていくのは得意ではない。しかし、自分が付き合ってみようと決めた友人とは、深い交友関係を形成する。ときに、漂々とした生活を好み、つかみどころがないという印象を他人に与えてしまうことがある。そして、独自の尺度のなかで、主観的に物事を判断しようとする傾向がある。本来、身軽にテキパキと活動するよりも、じっと落ち着いて考え込むことを好んでいるが、かといって、自分と厳しく向かいあっているという感じでもない。また、安定した状況を好み、転地や転勤などの新しい環境への適応性があるとはいえない。ただ、しばらくすると順応性があったのかと錯覚をするほど、馴染んでしまうようになる。気分に周期性が見られ、調子に乗って仕事をしていたかと思うときと、気が向かないために何もしないときの波がハッキリしている。,40,16,23,37,34,20,43,44,45,60,46,0,,
183,内定,在職,210602002.0,,新卒,,５６才以上,1,37,58,47,49,47,53,55,48,53,65,51,40,43,38,58,66,44,40,51,47,44,47,45,58,44,47,60,33,47,46,50,54,48,42,49,47,80,80,80,60,60,80,100,60,60,40,40,60,60,60,60,80,1,3,見通しがつくまで動かない慎重さが本質といえる。物事を軽率に判断したり、現実以上に高く評価するようなことも少ない。また、思いやりがあり自分を抑えるよさがあるが、なにか問題が起こると自罰的になり、いつまでもクヨクヨとしてしまう弱気なところもある。控えめな性格であり、自分にできることだけを小さく内々に表現しようとし、失敗したときのことを心配しすぎて、思いきった果敢な行動には移れない。遠慮がちではあるが、病的な暗さというほどではない。また、煩わしい人間関係はできるだけ避けていたいと考えている。どちらかといえば、周囲のことをあれこれと考えるよりも自己の世界に内閉し、その世界をより充実させたいと望み、美的な生き方をしようとしている。なんとなくつかみどころのない漂々とした生活ぶりで、空想癖があったりもする。物事をあるがままに客観的にとらえようとする傾向より、やや主観的に判断することのほうが多い。自分に自信をもち、もう少し図太さなどがあると持ち味の慎重特性がいきてくる。,54,30,37,48,45,34,43,50,49,54,49,0,,
184,非内定,在職,210602003.0,,新卒,,２０〜２５才,0,100,68,59,23,38,75,58,41,41,57,59,56,53,42,52,41,50,52,76,47,56,47,36,52,47,57,55,48,36,50,58,57,72,42,45,39,60,100,100,40,100,100,60,60,80,60,20,100,80,40,40,80,11,1,几帳面で、生活ぶりもキチンとしている。努力を信条として、地道に自分らしい事を息切れがせずいつまでも丹念に続けるタイプの人である。徹底性もみられ、納得がいくまで手掛けたことを大事にする。そして常識家でもあり、世間から逸脱した行動をとることはない。いわば万事手堅く安全にという生き方といえるが、斬新さや柔軟さに欠ける。しかし、頭の中にはアイデアがたくさんつまっていて、凝り性なところもある。ただ、内面で素晴らしい発案や考えがあっても、それを他人にうまく表現し伝えるとなると堅苦しくなってしまう。また、どちらかというと美的な生き方をしているといえる。他人と交友関係を進んでもつことは少ないものの、自己の考えや価値観の合う人は大切にしている。しかし、生活のためか、情報収集のために必要な社会的アンテナは張っている。ものの見方は自分も含め客観的で、物事をキチンと把握しようとしている。そのためか、常に一歩外からの発言が多く、冷たいとの印象を与えがちだが内面性は非常に豊かである。,66,41,47,64,60,45,44,54,62,55,52,0,,
185,非内定,在職,210602004.0,,新卒,,５６才以上,0,58,51,59,54,33,69,51,41,41,61,37,47,47,26,46,74,57,52,71,56,56,52,57,52,50,36,60,41,50,57,64,64,65,52,56,61,80,100,100,80,80,100,80,100,100,60,60,80,80,80,60,80,16,1,単調な作業であっても、飽きずに長時間こなせる持続性がある。努力と忍耐をもって、目標に向かっていくといった傾向がある。一事に没頭する徹底性がみられ、人からはそれがしつこいと思われることもあるほどで、夢中になると他のことには目がいかなくなるところがある。几帳面だが、ガンコで堅物との印象もあり、社会の秩序を乱す行動は慎み、通俗的な道徳観の持ち主で、物事の判断もそれに沿ったものになる。とはいえ、規則やしきたりにこだわりすぎるというわけではなく、いつも普通の人でありたいと思う願望が常識的な行動をとらせている。また、状況を鵜呑みにせず、先が見えるまでアクションを起こさないという慎重さも本質のひとつである。感情を抑え、落ち着いた雰囲気で信頼される。しかし、問題が起こったりすると、小さなミスでもいつまでも気にかけたり、他の人はとっくに忘れてしまうような失敗を、いつまでも忘れられず悩んだりするところもある。できることだけを小さくまとめるため、思いきった積極的な行動はしない。,63,62,54,71,65,67,47,61,65,50,61,0,,
186,内定,退職,210602005.0,,新卒,,２０〜２５才,0,94,41,67,64,54,72,71,32,41,69,57,59,50,30,43,53,52,61,66,44,44,55,57,58,33,54,60,51,51,52,71,80,57,35,41,66,100,100,100,100,100,80,100,60,80,60,20,80,100,80,80,60,13,0,コツコツと几帳面な人。生活ぶりもキチンとしていて、丹念な仕事ぶりである。スタ−ト・ダッシュはそれほどではないが、息切れがせずいつまでも走りつづける長距離ランナ−型でもある。徹底性もみられ、それがときにはしつこさに映じることもある。世間のきまりや常識を大切にして、ものごとの判断は杓子定規になりがちである。堅物との印象があり、その意見やアイデアは手堅いものの斬新さや柔軟さに欠けるきらいがある。大きな失敗をしないことがこの人の取り柄といえる。,76,59,60,73,78,61,51,54,58,61,50,0,,
187,非内定,退職,210603001.0,,新卒,,２０〜２５才,1,80,45,55,61,42,75,55,50,41,57,51,36,60,65,35,50,62,61,61,59,53,67,49,52,44,51,75,62,54,63,52,61,72,39,52,64,100,100,100,100,100,100,100,80,100,60,80,80,80,80,20,60,13,0,几帳面であり手掛けたことはとことん追求する徹底性もみられる。しかし、几帳面といっても、細かいことまでこだわるというより全体のまとまりを見たり、また、整理整頓は好ましいことだと思っていても、いつもきれいでなければ気がすまないというほどではない。物事の判断のしかたは、堅実というイメージであるが、ときに突発的な発想をしたりもする。行動力もあり、身軽で多少の困難にも粘り強い姿勢で対応することができる。ただ、規則や秩序を大切にしている常識家であり、決定事項などは必ず守るといった社会通念が強いあまり、お堅い人との印象を与えることもある。新しい環境などには比較的とけこむのが早く適応力がある。初対面では馴染みにくそうに思われることもあるが、本人は誰とでも気軽に話すことができ、すぐに親しくなれるような庶民的な雰囲気がある。精神的にもわりと安定していて、常に自分のリズムを一定に保つことができる。世話好きで親切な側面もあり、集団のリーダー格として活躍できる可能性をもっている。,72,68,70,63,70,76,58,65,63,55,57,0,,
