No.,在籍状況(入社3年以内),世代,性別,信頼係数,思索型：内閉性,思索型：客観性,活動型：身体性,活動型：気分性,努力型：持続性,努力型：規則性,積極型：競争性,積極型：自尊心,自制型：慎重性,自制型：弱気さ,日常周辺事型,客観・科学型,社会・経済型,心理・情緒型,審美・芸術型,積極性,協調性,責任感,自己信頼性,指導性,共感性,感情安定性,従順性,自主性,ﾓﾗﾄﾘｱﾑ傾向,達成欲求,親和欲求,求知欲求,顕示欲求,秩序欲求,物質的欲望,危機耐性,自律欲求,支配欲求,勤労意欲,自己：積極実行,自己：意欲熱意,自己：根気強さ,自己：責任感,自己：決断勇気,自己：指導力,自己：リーダー,自己：自己信頼,自己：調整力,自己：折衝力,自己：独創斬新,自己：現状分析,自己：洞察力,自己：企画立案,自己：専門知識,自己：情報活用,定着・安定,判定結果,ﾊﾟｰｿﾅﾘﾃｨｽｹｯﾁ,一般的,精神力,足　腰,集中力,標準化,適性の幅,対人ストレス耐性,目標ストレス耐性,繁忙ストレス耐性,拘束ストレス耐性,総合ストレス耐性,適合度
26,在職,２０〜２５才,男,56,75,63,39,38,36,40,55,27,65,65,43,67,42,43,58,37,35,42,41,50,28,53,36,62,59,49,48,50,43,38,57,19,63,45,47,40,80,60,80,40,60,60,40,80,40,40,40,40,80,20,40,-2,Ｅ,空想癖があり、自分の殻にこもってしまうことがある。それは自己の内面的世界で遊び、美的な生き方をしているあらわれでもある。独自な価値観の持ち主であるといえ、自分を含めて環境を客観的にとらえる傾向が強く、物事をあるがままに把握しようとする。性格的にうつる印象として、やや暗いという感じも受けるが、自分自身について深く内省していて、よく話をしてみると、その豊かな内面性を垣間見ることができる。また、過信することなく、石橋を叩いて渡るような慎重性が本質といえる。思いやりがあり自分をおさえる良さがあるのだが、自分でどうしようもない問題が起こると必要以上に自分の責任を背負い、くよくよと取り越し苦労するといった気弱で引っ込み思案な面もある。神経が細かく過敏なため、人前では緊張してしまうことがあり、快活に振る舞ことをあまり得意としない。そして、気持ちに余裕がなくなってしまうと、多少不安定な行動をとる可能性もある。一般的にはまじめで一途な人に多いが、柔軟性に欠け大らかさがない。,26,27,32,45,21,34,34,43,33,47,43,0
27,在職,２０〜２５才,女,37,61,50,39,47,59,44,41,41,53,39,56,47,42,43,41,46,44,46,44,69,32,57,52,44,38,60,33,36,55,31,54,53,49,60,54,60,100,60,100,60,100,100,100,100,100,100,40,80,80,20,60,4,Ｄ,ものの見方は主観的ではなく客観的に判断し、自分に対しても客体化した見方ができる。もともと人とのかかわりを望んでいるほうではなく、友達などとおしゃべりするよりは、芸術の世界などに閉じこもり、その中で生きていたい、ひとりで落ち着いていることが好き、というのが本音である。また、地道に堅い生活を送っている人で、何事においてもマメで、手を抜かずコツコツと丹念に取り組んでいこうとする。努力家でもあり、手掛けたことは最後まで大事にして、時間をかけても自分が納得するまであきらめない、長距離ランナー型といえる。長時間同じことをする職務を任されても、対外的にあまり文句を言うことがない。それでいて、それほど規則や秩序にこだわらず、状況に応じた判断をしようとする。行動や見た目に現れないとしても、世間の常識はわきまえている。コチコチな規則型人間といったほどではなく、発想も固定的なものばかりではない。性格的に派手さはなく、極端に目立つことはないが、周囲からは信頼されていたりもする。,43,35,34,45,49,36,39,53,53,51,53,0
28,退職,２０〜２５才,男,48,65,76,46,59,53,40,53,79,50,33,59,50,46,49,46,62,56,46,67,76,43,49,32,59,50,75,37,47,63,35,43,65,70,67,61,100,100,100,60,100,100,100,100,80,100,40,100,40,100,20,20,-11,Ｃ,人とは協調しながら、うまくやっていきたいと思っているが、内側では周囲の自分に対する評価を気にしていて、実力を認めてもらいたいという気持ちが強い。また、感情に左右されたり、冷静になれるときとが交互に起こったりもする。やや独善的であるといえ、自分自身に浸っているような感じを受ける。しかし、思い付いたら結果はどうあれ即行動という軽薄さはなく、時間をかけてもじっくりと自分なりに検討しようとする。ゆえに、自分で確実な自信を持って実行するために、検討がはずれてしまうと一人よがりになってしまうことがある。そして、本質としては、物事を客観的な視点からとらえようとする傾向があり、判断の仕方は的確であることが多い。発想も定型的なものばかりではなく、ときに突拍子もないような意見をいって周囲を驚かせることもある。ただ、人間関係において常に一歩距離をおいて接するため、深く付き合っていない人からは、親しみにくい印象にとられる。しかし、内面性は非常に豊かで自分自身を深く内省している。,31,62,54,52,45,58,39,62,58,31,54,0
29,在職,２０〜２５才,男,61,58,67,43,33,72,66,48,23,81,59,50,43,34,52,58,55,52,71,53,72,43,61,58,44,47,60,44,45,60,77,64,65,46,67,52,100,100,100,100,80,100,100,100,80,100,40,60,60,100,20,40,21,Ｂ,軽はずみな行動はなく、常に慎重を期して物事に対処していく人である。自分の感情を極力抑え、落ち着いた感じがする。何事に対しても自分で納得がいくまでは、簡単に受け入れるような事はない。状況の変化に対しても徹底的に調べてから次の行動へ移る。そして、自分と他人を比較して考えることはあまりなく、人には思いやりをもって接しようとする。しかし、問題が起こるといつまでも取り越し苦労するような気弱な面もある。また、仕事にも生活にも几帳面で規則正しいといった印象がある。何事も地味だが、コツコツと最後まで丹念に取り組もうとする。瞬発力はないが、持続性が本領であり取り柄でもある。しかし、一時に没頭しすぎると、それがしつこさとして映ることもある。物事の判断は、世間のきまりや秩序などを大切にしているため、常識から逸脱した行動をとることは少ない。その意見やアイデアは手堅く、あまり大きな失敗はないが、社会通念にこだわりすぎて、斬新さや柔軟性を欠き、押し付けがましさが目立つところがある。,72,51,47,74,60,54,42,59,60,55,59,0
30,在職,２０〜２５才,男,18,58,50,43,47,50,48,44,45,53,54,43,67,46,29,53,46,35,61,53,41,47,49,62,39,44,68,37,54,50,52,64,50,35,41,52,40,80,100,60,80,80,40,80,60,60,60,60,60,60,40,40,6,Ｄ,自分の世界に入り込み、周りのことに関心をしめさないような内閉的な傾向がみられる。外界のことへの興味よりも、空想的場面のなかで、あれこれ思いをめぐらせているほうが心地よく感じている。あまりテキパキと動き回ることはなく、一見すると、つかみどころがないとか冷たいという印象を他人に与えてしまうことがあるが、本質は思いやりがあり、心やさしい人柄といえる。また、自分自身について深く内省していて、自分を含めた環境をあるがままに客観的にとらえようとする傾向があり、物事をしっかりと把握している。行動面としては、過信したり過大な評価をせず、確実な見通しがつくまで動かないという慎重なところがある。しかしそれは、引っ込み思案で、控え目な性格であるためだといえる。自分にできることだけを、小さく内々に表現しようとする。遠慮がちで、思い切って果敢な行動にうつれず、人の後ろにつきたがる気弱さがある。人前で緊張したり、気持ちに余裕がなくなる状況になると、多少不安定な行動をとる可能性がある。,48,34,31,46,45,34,42,54,50,60,52,0
31,在職,２０〜２５才,女,32,51,59,46,50,48,28,50,45,47,30,47,57,46,49,41,57,48,51,63,56,43,65,36,59,41,60,44,57,60,28,43,53,56,49,52,60,60,80,80,60,80,80,60,60,60,80,60,80,60,60,60,0,Ｃ,他人とすすんで関係をもつことは少ないものの、社会への関心はあり、世間にたいする配慮もみられる。また、限られた友人とは深い交友関係を形成している。発想は着実でありながら、時として非常にユニークなアイデアもでる。自分もふくめて環境をあるがままに客観的にとらえようとする傾向がつよく、ものごとをキチンと把握している。人情的にのめりこまず、ために冷たい印象を他人に与えることがあるが、自分自身について深く内省していて、豊かな内面性をもつ。,34,57,53,49,39,62,45,56,55,45,58,0
32,在職,２０〜２５才,女,41,58,42,46,42,45,51,38,45,65,49,40,43,38,52,62,44,48,51,44,41,50,53,55,42,47,43,44,36,43,55,50,48,42,38,47,60,60,40,40,40,60,60,20,60,40,40,60,60,60,40,40,7,Ｄ,見通しがつくまで動かない慎重さが本質といえる。物事を軽率に判断したり、現実以上に高く評価するようなことも少ない。また、思いやりがあり自分を抑えるよさがあるが、なにか問題が起こると自罰的になり、いつまでもクヨクヨとしてしまう弱気なところもある。控えめな性格であり、自分にできることだけを小さく内々に表現しようとし、失敗したときのことを心配しすぎて、思いきった果敢な行動には移れない。遠慮がちではあるが、病的な暗さというほどではない。また、煩わしい人間関係はできるだけ避けていたいと考えている。どちらかといえば、周囲のことをあれこれと考えるよりも自己の世界に内閉し、その世界をより充実させたいと望み、美的な生き方をしようとしている。なんとなくつかみどころのない漂々とした生活ぶりで、空想癖があったりもする。物事をあるがままに客観的にとらえようとする傾向より、やや主観的に判断することのほうが多い。自分に自信をもち、もう少し図太さなどがあると持ち味の慎重特性がいきてくる。,53,20,20,45,44,22,48,47,47,57,51,0
33,在職,２０〜２５才,男,41,45,67,61,54,45,51,48,41,69,46,47,50,42,46,66,62,65,55,67,62,55,61,50,50,57,60,48,54,57,55,54,68,49,56,72,60,80,80,100,40,100,60,80,80,40,80,100,100,60,20,20,7,Ｂ,あくまでも先が見えるまで動かず、容易な決断はしないような慎重さが身上といえる。自分の感情を抑え、人にもやさしいといえるが、問題が起こると自罰的になったり、過去の失敗をいつまでも悩んだりする傾向がみられる。また、何をやらせても着実で手堅い人である。慎重すぎるせいか、発想は着実であり非常にユニークなアイデアや意見をもっているが、大胆な行動などはあまりとらないため、できることだけを小さくまとめて控えめに表現することがある。遠慮がちであり、もう少し視野を広げ、図太さなどがそなわると良い特性が引き出せる。また、どちらかといえば、たくさんの人が集まるところでは、自分から積極的に話しかける社交家ではないが、社会へ関心はあり、情報を収集するアンテナはしっかりと張りめぐらせている。物事を客観的にとらえようとする傾向がつよく、キチンと把握しようとする姿勢がみられる。あまり人情的にのめりこまないため冷たい印象を与えがちだが、豊かな内面性の持ち主で、自分自身を深く内省している。,59,64,56,67,66,67,51,61,56,50,57,0
34,在職,２０〜２５才,男,28,58,67,46,54,50,40,41,50,61,68,43,50,30,40,78,55,44,46,41,53,50,41,39,50,59,64,44,66,52,38,43,34,46,45,54,60,80,60,40,60,80,100,40,60,60,60,60,60,60,20,40,-5,Ｅ,過信せず、見通しがつくまで動かない慎重さが本質といえる。思いやりがあり、自分を抑える良さもあるが、問題が起こると自罰的傾向をとり、クヨクヨと取り越し苦労をする傾向がある。どちらかといえば、気弱で引っ込み思案の人である。神経が細かく過敏な性格で、人前にでると緊張し堅くなり、余裕がなくなると多少不安定な行動をとる可能性もある。できるだけ目立たず、隅のほうにいたいという感じで、自信をもった行動力が不足している。一般的には真面目で、一途な人に多くみられるが、ときに、その真面目さが、柔軟性に欠けていると人から見られる。そして、他人との交友関係なども進んでもつほうではなく、関心分野以外のことになると、かかわらないように殻に閉じこもろうとする。よくいえば、自分の内面的な世界の中で審美的な生き方をしているともとれる。ものの見方は客観的で的確に把握しようとする。人情に溺れることなく一歩距離をおいて接するため、冷たい印象を与えることもあるが自分自身については深く内省している。,37,26,33,46,26,37,42,48,43,49,40,0
35,在職,２０〜２５才,女,66,41,47,58,50,66,63,48,45,65,51,43,53,46,46,58,57,70,66,53,53,70,53,65,42,50,45,70,54,57,68,68,72,39,52,61,80,100,100,60,60,80,80,80,80,80,40,80,60,60,40,60,14,Ａ,生活態度も安定していて、何事もしっかりこなしていこうとする。走り出しはそれほどでもないが、いつまでも息切れせずに走り続けることができ、途中であきらめることなく、成し遂げるまで頑張ろうとする。また、自分でよく考えた上で決めたことは必ず実行し、自分の気分や周囲の状況の変化で予定を変更したりすることはあまりない。人の意見に対してもすぐに鵜呑みにするようなことは少なく、答えは自分で決めるといったところもある。精神状態は安定しているほうだといえ、どちらかといえば落ち着いているという雰囲気がある。そして、規則や常識を大切にし、社会通念に生きている常識家ともいえる。そのためか、物事の判断は型にはまりがちになることもある。また、明確な見通しがつくまで動かない慎重さも認められる。自分を抑える良さがあるといえるが、慎重になりすぎてユニークさに欠けてしまったり、失敗を意識しすぎて小さくまとまってしまったりすることがある。また、問題が起こると取り越し苦労するなど弱気な面もある。,77,61,62,58,73,62,64,56,62,57,55,0
36,退職,２０〜２５才,男,52,54,55,51,47,48,44,44,37,53,59,33,63,42,46,53,49,61,51,47,47,50,49,46,54,59,60,48,50,50,47,68,57,49,52,57,80,80,100,80,80,60,60,80,60,80,80,80,60,40,20,80,3,Ｃ,真面目であるが、イキイキしたところがあまりみられず、どちらかといえば内向的な人だといえる。大勢の仲間と騒ぐよりは、数少ない友人との時間を大切にするほうだといえる。物事の考え方や発想は、大変素晴らしいものがあるのに、積極的に外に公表しようとする気持ちがないのか、それとも自分に自信が持てないためか、常に控え目に小さく表現しようとする。そのうえ、神経が細かく過敏な性格のため、人前では緊張しがちで、気持ちに余裕がなくなると不安定な行動をとることもある。また、失敗の不安を取り除くために綿密な計画をたてようとし、それが自分の能力以上のものとなると、気負いばかりが先走りする状態になってしまう。また、積極的に交友関係を持とうとはしないが、気の許せる友人とは深い付き合いを形成している。自分も含めた物事の見方は、客観的にキチンと把握していて、その理解のしかたに間違いは少ない。人情的に深入りしないため冷淡な印象も与えるが、自分をよく内省していて、豊かな内面性の持ち主といえる。,44,45,44,51,49,46,50,54,49,50,49,0
37,在職,２０〜２５才,女,80,65,55,30,54,50,66,41,58,61,62,47,43,42,58,53,30,40,55,41,32,55,41,58,33,62,43,51,30,38,61,57,42,35,41,27,40,80,80,40,20,60,60,40,60,60,40,60,40,40,40,60,-3,Ｄ,単純なことや同じ作業を長時間こなすという持続性に欠けている。気長にコツコツとやっていく地道な事はあまり得意とはいえない。周囲が自分をどう見ているかという社会的な評価より、自分自身で手掛けていき納得のいくことのほうを重視している。自分から積極的に外に出て活動するというよりは、自己の内面世界の中で独自の価値観を形成させ、その中で好きな事をしているほうを好んでいる。そして、規則や秩序を守り、世間から逸脱した行動はとらない常識家であり、何事も万事手堅く安全にという生き方をしている。そのためか、斬新さや柔軟さに欠けてしまうことがあり、せっかく素晴らしいアイデアがあっても、常識を意識しすぎて面白くなくなってしまう可能性がある。状況判断のしかたは主観的で、その場の雰囲気や感情に流されやすい傾向がある。しかし、一度自分がこうだと決めたことは頑固に通そうとする。また、人との接触が面倒なのか交友関係を進んで持とうとしない。しかし、自分と考え方や価値観のあう友人は大切にする。,62,25,34,48,50,25,45,39,43,58,41,0
38,在職,２０〜２５才,女,69,48,59,54,59,42,36,53,53,38,49,47,50,50,40,62,62,56,36,59,50,55,41,46,50,47,71,48,74,65,25,57,53,42,49,64,100,100,80,80,100,80,100,80,100,40,80,60,60,80,40,80,-7,Ｄ,自己の世界を大切にし、対人関係なども自分から進んで外に出ていくことは少ない。はじめて会った人には、人見知りをするほうで、他人との間に距離を置こうとする。しかし、限られた友人とは、深い交友関係を形成している。発想は着実でありながら、時として非常におもしろい考え方をすることがある。ある程度の社会性をそなえ、周囲に対する配慮もみられる。自分自身についても深く内省していて、内面性は豊かで充実している。どちらかというと身軽に動き回るよりも、物事を落ち着いて考えてから行動するが、見方によっては、しりの重たさを感じさせることもある。新しい環境に馴染むには多少時間がかかり、新規にとりかかる事や転地などは不向きと思われる。しかし、ひとたび順応しはじめると、切り換えは遅いほうではない。また、気分屋なところがあり、調子のよい時と落ち込んでいる時の浮き沈みがあり、その時々の感情に起伏がみられる。非常に敏感な部分と鈍感な面の両方を持ち合わせていて、扱いにくい人間にうつることもある。,34,49,55,38,40,50,50,58,48,50,49,0
39,退職,２０〜２５才,女,67,41,47,61,50,63,71,41,61,85,49,40,47,30,68,58,55,65,66,44,69,55,41,69,42,51,49,51,36,50,74,61,57,49,56,69,100,100,100,100,100,100,100,60,100,60,60,60,60,60,20,60,7,Ａ,周りの人は安全で大丈夫だと判断しても、自分で確信が持てるまで、石橋を叩いて渡るような慎重な人である。やや積極性に欠けるが、自分の感情を抑え、落ち着いた雰囲気が感じられる。また、自罰的傾向もみられ、なにか問題が起こると責任を一身に感じ、落ち込んでしまうような面も露呈する。また、失敗を嫌うため、自分のできる範囲で行動する人といえる。もう少し、図太さがあると良いが、控えめな性格で、積極的にうってでるようなことはない。しかし、病的な暗さはなく、手堅さは評価できる。そして、地味に堅い生活をおくっている人で、何事も手を抜かず、コツコツと丹念に取り組んでいく。しかし、夢中になると一つのことに執着するような頑固さがあり、ときにしつこいと思われることもある。自分らしさを主張するより、周囲が自分をどう見ているかを気にかけている。世間のきまりや常識を大切にし、その意見やアイデアは手堅く、大きな失敗やトラブルはないが、あまり規則や秩序にこだわりすぎると、杓子定規にもなりかねない。,79,56,51,63,79,58,56,53,58,52,48,0
40,退職,２０〜２５才,女,74,41,55,51,50,66,55,48,58,85,54,56,40,26,55,62,52,74,76,53,66,81,49,62,42,59,60,70,51,63,55,73,57,49,72,66,100,100,100,100,60,80,100,100,100,80,60,80,80,60,40,80,9,Ａ,他の人がなんと言おうと自分で確信がもてるまで、決して行動には移さない慎重なところがある。軽はずみな行動は少なく、落ち着いた雰囲気と信頼感がある。また、努力を信条とし、何事も丹念に取り組んでいこうとする。出だしはそれほどでもないが、いつまでも持続させることができる。生活ぶりもキチンとしていて、物事は計画書を書いて実行するようなマメな人である。しかし、あくまでも一つのことに執着する頑固さではなく融通性も持っている。それほど規則や秩序を気にするわけでなく、状況に応じた判断ができる。世間の常識はわきまえていても、四角四面で固定的なものでなく、よき社会人として模範的な見方をされる。しかし、慎重であるがゆえ、問題が起こると必要以上に自分を責めることがある。その後は二度と同じ失敗をしないように考えすぎて、行動は控えめになることがある。もう少し、図太さがあり積極的にうってでるところがあると安心して見ていられるリーダーになる。しかし、手堅さや慎重さなど評価できる部分は多い。,71,61,62,65,76,63,65,58,59,48,50,0
41,在職,２０〜２５才,男,71,48,76,61,68,50,66,44,32,61,89,33,57,60,35,66,52,65,51,24,59,63,36,58,44,81,49,65,54,55,50,64,42,39,49,64,60,80,60,100,80,80,80,40,60,20,60,100,100,80,20,80,-2,Ｃ,自分自身で納得するまで、即断をしたり、行動をしたりしない慎重性が本質といえる。また、じっくりと物事を検討することができ、自分なりの考えにまとめてから実行にうつそうとする。多少、気弱なところが見られ、人前では緊張してしまうことがある。また、思いやりがあり自分を抑える良さがあるが、トラブルが起こると、その責任を必要以上に気にしてしまう。これは、神経が細かく過敏な性格であるためで、ときに余裕がなくなると不安定な行動をとる。一般的に一途な人に、この傾向は多く見られる。また、他人と進んで交友をもつことは少ないものの、限られた友人とは深い交友関係を形成している。社会への関心はあり、世間に対する配慮もみられる。発想は着実でありながら、時として非常にユニークなアイデアをだすことができる。自分も含めて、物事の見方は客観的で、キチンと把握しようとしているが、あまり人情的にのめり込まないために、冷淡な印象を与えることがある。自分をよく内省しており、豊かな内面性の持ち主である。,54,48,51,48,60,48,53,44,41,58,30,0
42,退職,２０才未満,男,55,58,50,49,47,66,51,35,41,65,59,43,53,38,49,66,43,40,61,41,41,50,36,62,39,51,55,48,50,55,58,61,53,35,38,50,80,80,80,100,80,60,80,80,60,60,60,60,60,60,80,40,9,Ｃ,単調な作業であっても、飽きずに長時間こなせる持続性がある。努力と忍耐をもって、目標に向かっていくといった傾向がある。一事に没頭する徹底性がみられ、人からはそれがしつこいと思われることもあるほどで、夢中になると他のことには目がいかなくなるところがある。几帳面だが、ガンコで堅物との印象もあり、社会の秩序を乱す行動は慎み、通俗的な道徳観の持ち主で、物事の判断もそれに沿ったものになる。とはいえ、規則やしきたりにこだわりすぎるというわけではなく、いつも普通の人でありたいと思う願望が常識的な行動をとらせている。また、状況を鵜呑みにせず、先が見えるまでアクションを起こさないという慎重さも本質のひとつである。感情を抑え、落ち着いた雰囲気で信頼される。しかし、問題が起こったりすると、小さなミスでもいつまでも気にかけたり、他の人はとっくに忘れてしまうような失敗を、いつまでも忘れられず悩んだりするところもある。できることだけを小さくまとめるため、思いきった積極的な行動はしない。,59,34,37,53,46,36,46,51,52,61,46,0
43,在職,２０才未満,女,56,58,59,51,47,66,66,38,41,57,59,47,47,26,49,66,44,52,66,38,50,59,36,62,39,54,43,54,45,41,50,50,48,42,49,52,80,80,100,80,20,100,80,60,60,20,60,60,80,60,20,60,9,Ｃ,コツコツと几帳面な人。生活ぶりもキチンとしていて、丹念な仕事ぶりである。スタ−ト・ダッシュはそれほどではないが、息切れがせずいつまでも走りつづける長距離ランナ−型でもある。徹底性もみられ、それがときにはしつこさに映じることもある。世間のきまりや常識を大切にして、ものごとの判断は杓子定規になりがちである。堅物との印象があり、その意見やアイデアは手堅いものの斬新さや柔軟さに欠けるきらいがある。大きな失敗をしないことがこの人の取り柄といえる。,65,28,37,61,53,35,49,45,53,58,44,0
44,退職,２０才未満,男,38,51,55,49,42,56,32,41,32,61,39,50,67,38,52,41,50,56,61,67,44,67,61,52,47,41,60,62,50,60,38,57,61,49,45,52,80,100,100,100,100,100,80,100,80,60,20,60,40,80,60,80,14,Ｂ,他の人がなんと言おうと自分で確信がもてるまで、決して行動には移さない慎重なところがある。軽はずみな行動は少なく、落ち着いた雰囲気と信頼感がある。また、努力を信条とし、何事も丹念に取り組んでいこうとする。出だしはそれほどでもないが、いつまでも持続させることができる。生活ぶりもキチンとしていて、物事は計画書を書いて実行するようなマメな人である。しかし、あくまでも一つのことに執着する頑固さではなく融通性も持っている。それほど規則や秩序を気にするわけでなく、状況に応じた判断ができる。世間の常識はわきまえていても、四角四面で固定的なものでなく、よき社会人として模範的な見方をされる。しかし、慎重であるがゆえ、問題が起こると必要以上に自分を責めることがある。その後は二度と同じ失敗をしないように考えすぎて、行動は控えめになることがある。もう少し、図太さがあり積極的にうってでるところがあると安心して見ていられるリーダーになる。しかし、手堅さや慎重さなど評価できる部分は多い。,58,59,59,58,60,64,55,59,57,55,61,0
45,退職,２０〜２５才,男,59,41,55,51,54,56,24,41,50,61,59,40,43,38,55,62,62,48,76,47,59,50,36,36,50,62,64,37,50,55,47,54,53,49,49,69,80,100,100,80,100,100,100,80,100,100,20,80,100,80,40,80,0,Ｃ,過信せず、見通しがつくまで動かない慎重さがこの人の本質である。思いやりがあり、自分をおさえる良さがあるが、問題がおこると自罰的傾向をとり、くよくよと取り越し苦労する面も。気弱で引っ込み思案の人である。自分に自信がなく、快活な面がみられない。神経が細かく過敏な性格で、人前では緊張してかたくなりがちである。余裕がなくなると、多少不安定な行動をとる可能性もでる。一般的にはまじめで一途な人が多いが、柔軟性に欠けおおらかさがない。,52,45,53,51,49,56,47,55,57,47,44,0
46,退職,２６〜３０才,男,80,82,67,30,59,53,58,68,37,61,59,36,70,50,40,58,46,44,55,56,72,36,49,55,54,76,52,37,50,57,44,47,72,56,67,39,60,100,80,100,80,80,100,20,100,100,40,80,60,20,60,60,-4,Ｃ,社会に対する関心があり、周囲への配慮もある。しかし、本来の内面意識の中では、世間や周りの環境に流されることは少なく、自分は自分としての考えが強い。他人からの押し付けがましさは望むところではない。交友関係などは、たくさんの仲間関係を広げていくというより、自己の世界や独自な価値観を理解してくれる友人を大切にする。そして、自分も含めて環境をあるがままに客観的にとらえようとする傾向があり、物事をキチンと把握しようとする。そうしたことからか、行動や考えには悪意はないのだが、現実的かつ冷静な発言が多いため対人関係で、衝突してしまう可能性があるかも知れない。また、積極性があり、競争心が旺盛である。他人と競合する場面になると、実力以上の成果をあげることもある。精神的には独立していて、他人に依存することを嫌う。自己中心性や他罰的傾向も多少みられるが、思いあがった独善性というほどではない。人よりも優れたことをして、それをいかに効果的に世間に公開するかといったところに関心がある。,39,50,43,62,38,42,33,52,53,48,48,0
47,在職,２６〜３０才,男,31,58,59,54,47,48,51,50,41,65,54,47,40,46,55,62,44,48,55,47,56,50,49,55,50,50,55,48,47,57,52,61,50,42,56,52,80,100,80,100,100,80,80,80,80,60,80,80,80,100,40,60,5,Ｃ,あくまでも先が見えるまで動かず、容易な決断はしないような慎重さが身上といえる。自分の感情を抑え、人にもやさしいといえるが、問題が起こると自罰的になったり、過去の失敗をいつまでも悩んだりする傾向がみられる。また、何をやらせても着実で手堅い人である。慎重すぎるせいか、発想は着実であり非常にユニークなアイデアや意見をもっているが、大胆な行動などはあまりとらないため、できることだけを小さくまとめて控えめに表現することがある。遠慮がちであり、もう少し視野を広げ、図太さなどがそなわると良い特性が引き出せる。また、どちらかといえば、たくさんの人が集まるところでは、自分から積極的に話しかける社交家ではないが、社会へ関心はあり、情報を収集するアンテナはしっかりと張りめぐらせている。物事を客観的にとらえようとする傾向がつよく、キチンと把握しようとする姿勢がみられる。あまり人情的にのめりこまないため冷たい印象を与えがちだが、豊かな内面性の持ち主で、自分自身を深く内省している。,54,42,45,51,54,46,45,52,48,53,49,0
48,在職,２０〜２５才,女,71,45,59,58,42,56,40,41,45,61,42,43,50,26,52,70,62,61,71,53,62,55,53,46,51,44,52,48,51,50,50,39,65,52,52,61,100,100,80,80,60,100,100,60,60,60,40,80,60,60,40,60,12,Ｂ,あくまでも先が見えるまで動かず、容易な決断はしないような慎重さが身上といえる。自分の感情を抑え、人にもやさしいといえるが、問題が起こると自罰的になったり、過去の失敗をいつまでも悩んだりする傾向がみられる。また、何をやらせても着実で手堅い人である。慎重すぎるせいか、発想は着実であり非常にユニークなアイデアや意見をもっているが、大胆な行動などはあまりとらないため、できることだけを小さくまとめて控えめに表現することがある。遠慮がちであり、もう少し視野を広げ、図太さなどがそなわると良い特性が引き出せる。また、どちらかといえば、たくさんの人が集まるところでは、自分から積極的に話しかける社交家ではないが、社会へ関心はあり、情報を収集するアンテナはしっかりと張りめぐらせている。物事を客観的にとらえようとする傾向がつよく、キチンと把握しようとする姿勢がみられる。あまり人情的にのめりこまないため冷たい印象を与えがちだが、豊かな内面性の持ち主で、自分自身を深く内省している。,62,51,50,59,64,66,52,56,62,49,57,0
49,在職,２０〜２５才,男,80,71,59,33,47,59,51,48,61,69,51,47,50,42,43,58,43,44,55,38,62,43,36,52,44,47,32,44,30,50,50,47,48,42,56,42,40,60,40,80,80,100,100,60,80,60,20,80,60,60,40,20,1,Ｄ,自分と違った価値観や周囲の雑音にはあまり興味をしめさない。そして、自らが進んで他人との接触を好むというタイプではないが、いったん付き合うとその交友関係を大切にする。それは、価値観の違う大勢の人といるよりも、一人でいる、または気の合った仲間と一緒にいるほうに喜びを感じるということである。どちらかといえば、審美的な生き方をしていて、豊かな内面性をそなえ、自分自身をよく内省している人であることがわかる。そして、状況をあるがままに客観的にとらえ、じっくりと経過と結果の両方向から考える傾向が強く、物事をキチンと把握することができる。そのためか最初のうちは人に冷たいとか、わかりづらいという印象を与えてしまうことがあるが、付き合ってみると思いやりがあり、心やさしい人柄であることがわかる。また、軽はずみな行動は少なく、見通しがつくまで動かない慎重さや手堅さは評価できる。しかし考えすぎるため、大胆な発想をしたり突発的な行動をとることがないので、おもしろさには欠けてしまう。,47,20,21,48,42,33,40,43,50,49,45,0
50,在職,２０〜２５才,女,58,58,47,46,42,63,55,44,37,73,54,47,43,30,46,70,52,52,66,50,56,47,53,55,47,57,52,44,33,41,58,50,61,46,49,54,80,100,100,60,80,100,100,60,80,60,40,80,60,80,60,80,14,Ｃ,他の人がなんと言おうと自分で確信がもてるまで、決して行動には移さない慎重なところがある。軽はずみな行動は少なく、落ち着いた雰囲気と信頼感がある。また、努力を信条とし、何事も丹念に取り組んでいこうとする。出だしはそれほどでもないが、いつまでも持続させることができる。生活ぶりもキチンとしていて、物事は計画書を書いて実行するようなマメな人である。しかし、あくまでも一つのことに執着する頑固さではなく融通性も持っている。それほど規則や秩序を気にするわけでなく、状況に応じた判断ができる。世間の常識はわきまえていても、四角四面で固定的なものでなく、よき社会人として模範的な見方をされる。しかし、慎重であるがゆえ、問題が起こると必要以上に自分を責めることがある。その後は二度と同じ失敗をしないように考えすぎて、行動は控えめになることがある。もう少し、図太さがあり積極的にうってでるところがあると安心して見ていられるリーダーになる。しかし、手堅さや慎重さなど評価できる部分は多い。,68,38,37,67,60,40,47,52,57,55,53,0
