No.,内定有無,世代,性別,信頼係数,思索型：内閉性,思索型：客観性,活動型：身体性,活動型：気分性,努力型：持続性,努力型：規則性,積極型：競争性,積極型：自尊心,自制型：慎重性,自制型：弱気さ,日常周辺事型,客観・科学型,社会・経済型,心理・情緒型,審美・芸術型,積極性,協調性,責任感,自己信頼性,指導性,共感性,感情安定性,従順性,自主性,ﾓﾗﾄﾘｱﾑ傾向,達成欲求,親和欲求,求知欲求,顕示欲求,秩序欲求,物質的欲望,危機耐性,自律欲求,支配欲求,勤労意欲,自己：積極実行,自己：意欲熱意,自己：根気強さ,自己：責任感,自己：決断勇気,自己：指導力,自己：リーダー,自己：自己信頼,自己：調整力,自己：折衝力,自己：独創斬新,自己：現状分析,自己：洞察力,自己：企画立案,自己：専門知識,自己：情報活用,定着・安定,判定結果,ﾊﾟｰｿﾅﾘﾃｨｽｹｯﾁ,一般的,精神力,足　腰,集中力,標準化,適性の幅,対人ストレス耐性,目標ストレス耐性,繁忙ストレス耐性,拘束ストレス耐性,総合ストレス耐性,適合度
673,0,２０〜２５才,女,46,54,42,49,38,72,63,41,45,61,46,52,60,38,46,46,46,61,71,47,44,52,45,65,39,44,55,48,47,41,61,61,57,39,52,50,80,100,100,100,40,40,60,60,80,20,20,60,40,60,40,20,16,Ｂ,コツコツと几帳面な人。生活ぶりもキチンとしていて、丹念な仕事ぶりである。スタ−ト・ダッシュはそれほどではないが、息切れがせずいつまでも走りつづける長距離ランナ−型でもある。徹底性もみられ、それがときにはしつこさに映じることもある。世間のきまりや常識を大切にして、ものごとの判断は杓子定規になりがちである。堅物との印象があり、その意見やアイデアは手堅いものの斬新さや柔軟さに欠けるきらいがある。大きな失敗をしないことがこの人の取り柄といえる。,74,48,42,66,69,49,53,52,60,58,53,0
674,0,２０〜２５才,男,75,51,47,51,33,63,58,44,37,57,33,43,53,57,43,58,55,48,61,70,50,43,74,52,47,41,55,33,41,57,64,61,68,49,56,52,100,100,100,100,100,60,80,100,60,80,60,80,80,100,20,60,14,Ｂ,コツコツと几帳面な人。生活ぶりもキチンとしていて、丹念な仕事ぶりである。スタ−ト・ダッシュはそれほどではないが、息切れがせずいつまでも走りつづける長距離ランナ−型でもある。徹底性もみられ、それがときにはしつこさに映じることもある。世間のきまりや常識を大切にして、ものごとの判断は杓子定規になりがちである。堅物との印象があり、その意見やアイデアは手堅いものの斬新さや柔軟さに欠けるきらいがある。大きな失敗をしないことがこの人の取り柄といえる。,69,57,50,67,63,58,45,61,62,52,67,0
675,0,２０〜２５才,女,94,75,55,30,47,53,51,41,32,69,62,47,40,26,61,53,36,31,61,31,44,32,41,52,47,54,45,37,50,43,47,47,42,46,38,33,60,60,60,60,40,60,60,40,60,60,40,60,60,40,40,40,4,Ｄ,空想癖があり、自分の殻にこもってしまうことがある。それは自己の内面的世界で遊び、美的な生き方をしているあらわれでもある。独自な価値観の持ち主であるといえ、自分を含めて環境を客観的にとらえる傾向が強く、物事をあるがままに把握しようとする。性格的にうつる印象として、やや暗いという感じも受けるが、自分自身について深く内省していて、よく話をしてみると、その豊かな内面性を垣間見ることができる。また、過信することなく、石橋を叩いて渡るような慎重性が本質といえる。思いやりがあり自分をおさえる良さがあるのだが、自分でどうしようもない問題が起こると必要以上に自分の責任を背負い、くよくよと取り越し苦労するといった気弱で引っ込み思案な面もある。神経が細かく過敏なため、人前では緊張してしまうことがあり、快活に振る舞ことをあまり得意としない。そして、気持ちに余裕がなくなってしまうと、多少不安定な行動をとる可能性もある。一般的にはまじめで一途な人に多いが、柔軟性に欠け大らかさがない。,49,24,35,44,40,30,34,41,46,57,42,0
676,0,２０〜２５才,女,54,48,55,51,42,69,63,48,50,69,49,52,33,30,52,70,57,56,61,47,66,63,41,62,44,47,49,51,45,60,68,57,65,46,56,64,60,100,100,80,60,100,100,100,100,60,60,40,80,60,60,40,10,Ｂ,生活態度も安定していて、何事もしっかりこなしていこうとする。走り出しはそれほどでもないが、いつまでも息切れせずに走り続けることができ、途中であきらめることなく、成し遂げるまで頑張ろうとする。また、自分でよく考えた上で決めたことは必ず実行し、自分の気分や周囲の状況の変化で予定を変更したりすることはあまりない。人の意見に対してもすぐに鵜呑みにするようなことは少なく、答えは自分で決めるといったところもある。精神状態は安定しているほうだといえ、どちらかといえば落ち着いているという雰囲気がある。そして、規則や常識を大切にし、社会通念に生きている常識家ともいえる。そのためか、物事の判断は型にはまりがちになることもある。また、明確な見通しがつくまで動かない慎重さも認められる。自分を抑える良さがあるといえるが、慎重になりすぎてユニークさに欠けてしまったり、失敗を意識しすぎて小さくまとまってしまったりすることがある。また、問題が起こると取り越し苦労するなど弱気な面もある。,74,56,55,66,71,59,53,57,60,53,52,0
677,0,５６才以上,女,64,51,67,58,59,69,58,55,50,69,46,56,43,42,46,58,57,61,61,50,72,55,32,50,51,51,75,58,62,57,61,73,68,42,64,66,80,100,80,60,80,80,100,80,100,80,100,80,40,100,60,60,8,Ａ,生活態度も安定していて、何事もしっかりこなしていこうとする。走り出しはそれほどでもないが、いつまでも息切れせずに走り続けることができ、途中であきらめることなく、成し遂げるまで頑張ろうとする。また、自分でよく考えた上で決めたことは必ず実行し、自分の気分や周囲の状況の変化で予定を変更したりすることはあまりない。人の意見に対してもすぐに鵜呑みにするようなことは少なく、答えは自分で決めるといったところもある。精神状態は安定しているほうだといえ、どちらかといえば落ち着いているという雰囲気がある。そして、規則や常識を大切にし、社会通念に生きている常識家ともいえる。そのためか、物事の判断は型にはまりがちになることもある。また、明確な見通しがつくまで動かない慎重さも認められる。自分を抑える良さがあるといえるが、慎重になりすぎてユニークさに欠けてしまったり、失敗を意識しすぎて小さくまとまってしまったりすることがある。また、問題が起こると取り越し苦労するなど弱気な面もある。,67,71,72,63,71,75,51,59,61,48,48,0
678,0,２０〜２５才,男,57,61,55,43,38,53,32,61,45,73,54,43,53,38,46,46,50,56,55,44,59,40,57,29,71,54,55,48,60,57,31,57,57,59,64,57,80,100,100,100,100,60,100,60,80,100,60,100,80,100,60,80,6,Ｃ,見通しがつくまで動かない慎重さが本質といえる。物事を軽率に判断したり、現実以上に高く評価するようなことも少ない。また、思いやりがあり自分を抑えるよさがあるが、なにか問題が起こると自罰的になり、いつまでもクヨクヨとしてしまう弱気なところもある。控えめな性格であり、自分にできることだけを小さく内々に表現しようとし、失敗したときのことを心配しすぎて、思いきった果敢な行動には移れない。遠慮がちではあるが、病的な暗さというほどではない。また、煩わしい人間関係はできるだけ避けていたいと考えている。どちらかといえば、周囲のことをあれこれと考えるよりも自己の世界に内閉し、その世界をより充実させたいと望み、美的な生き方をしようとしている。なんとなくつかみどころのない漂々とした生活ぶりで、空想癖があったりもする。物事をあるがままに客観的にとらえようとする傾向より、やや主観的に判断することのほうが多い。自分に自信をもち、もう少し図太さなどがあると持ち味の慎重特性がいきてくる。,47,63,55,58,44,64,45,55,52,38,53,0
679,0,５６才以上,女,100,35,59,67,54,66,32,59,50,47,42,29,43,38,43,87,74,65,61,53,72,67,45,32,71,38,55,65,66,65,41,54,79,59,67,75,100,100,80,100,80,80,100,80,80,60,100,80,80,80,20,80,7,Ｂ,テキパキと行動して、思いたったことは素早く実行に移すことができる。体を動かして物事を解決していくタイプの人。また環境への適応力があり、状況の変化にもたやすくついていくことができる。「活動性」と「忍耐力」が主な特性である。熱意のあまり感情的になってしまうこともあるが、わりと情緒的にも安定しており一定のリズムをもって生活をしている。手掛けた事を途中で放り出すといった、気分屋なところも目立たない。発想は思いつきや感覚的なものが多いが、理詰な考え方をすることもできる。社会性も身につけており大人の印象を与える。また、コツコツと努力する几帳面な人でもある。丹念に物事にあたり、地道に時間をかけても納得のいくまでかかわるような努力家である。それでいて、それほど規則や秩序にこだわらず、状況に応じた判断をすることができる。常識をわきまえているが、四角四面ではなく、発想も杓子定規な固定的なものではない。成熟したパーソナリティーの持ち主で周囲からも模範的な見られかたをしている。,53,69,68,52,53,79,60,62,67,37,57,0
680,0,２０〜２５才,男,70,75,63,39,38,45,48,38,27,73,46,50,63,42,52,36,44,48,55,53,62,36,57,58,39,50,45,41,39,50,61,64,65,42,64,52,40,100,80,80,100,80,80,80,100,100,20,80,20,60,20,20,14,Ｃ,自分と違った価値観や周囲の雑音にはあまり興味をしめさない。そして、自らが進んで他人との接触を好むというタイプではないが、いったん付き合うとその交友関係を大切にする。それは、価値観の違う大勢の人といるよりも、一人でいる、または気の合った仲間と一緒にいるほうに喜びを感じるということである。どちらかといえば、審美的な生き方をしていて、豊かな内面性をそなえ、自分自身をよく内省している人であることがわかる。そして、状況をあるがままに客観的にとらえ、じっくりと経過と結果の両方向から考える傾向が強く、物事をキチンと把握することができる。そのためか最初のうちは人に冷たいとか、わかりづらいという印象を与えてしまうことがあるが、付き合ってみると思いやりがあり、心やさしい人柄であることがわかる。また、軽はずみな行動は少なく、見通しがつくまで動かない慎重さや手堅さは評価できる。しかし考えすぎるため、大胆な発想をしたり突発的な行動をとることがないので、おもしろさには欠けてしまう。,61,42,29,63,63,40,37,54,52,57,57,0
681,0,２０〜２５才,女,96,27,63,74,50,75,55,55,37,65,46,52,50,50,32,62,71,74,71,59,69,67,53,52,51,38,75,62,62,68,68,73,76,56,67,75,100,100,100,80,100,100,100,80,100,100,60,100,100,100,60,100,16,Ａ,几帳面であり手掛けたことはとことん追求する徹底性もみられる。しかし、几帳面といっても、細かいことまでこだわるというより全体のまとまりを見たり、また、整理整頓は好ましいことだと思っていても、いつもきれいでなければ気がすまないというほどではない。物事の判断のしかたは、堅実というイメージであるが、ときに突発的な発想をしたりもする。行動力もあり、身軽で多少の困難にも粘り強い姿勢で対応することができる。ただ、規則や秩序を大切にしている常識家であり、決定事項などは必ず守るといった社会通念が強いあまり、お堅い人との印象を与えることもある。新しい環境などには比較的とけこむのが早く適応力がある。初対面では馴染みにくそうに思われることもあるが、本人は誰とでも気軽に話すことができ、すぐに親しくなれるような庶民的な雰囲気がある。精神的にもわりと安定していて、常に自分のリズムを一定に保つことができる。世話好きで親切な側面もあり、集団のリーダー格として活躍できる可能性をもっている。,72,79,75,73,69,83,62,67,69,48,60,0
682,0,２０〜２５才,女,33,54,50,46,50,59,66,48,41,65,51,40,40,38,52,70,50,52,61,44,53,55,45,55,47,50,39,62,41,41,64,54,48,46,45,47,60,80,60,80,40,100,100,60,80,20,80,60,60,80,20,60,10,Ｃ,生活態度も安定していて、何事もしっかりこなしていこうとする。走り出しはそれほどでもないが、いつまでも息切れせずに走り続けることができ、途中であきらめることなく、成し遂げるまで頑張ろうとする。また、自分でよく考えた上で決めたことは必ず実行し、自分の気分や周囲の状況の変化で予定を変更したりすることはあまりない。人の意見に対してもすぐに鵜呑みにするようなことは少なく、答えは自分で決めるといったところもある。精神状態は安定しているほうだといえ、どちらかといえば落ち着いているという雰囲気がある。そして、規則や常識を大切にし、社会通念に生きている常識家ともいえる。そのためか、物事の判断は型にはまりがちになることもある。また、明確な見通しがつくまで動かない慎重さも認められる。自分を抑える良さがあるといえるが、慎重になりすぎてユニークさに欠けてしまったり、失敗を意識しすぎて小さくまとまってしまったりすることがある。また、問題が起こると取り越し苦労するなど弱気な面もある。,73,37,41,54,63,41,53,44,53,55,47,0
683,0,２０〜２５才,男,44,58,59,43,47,69,48,53,50,78,51,59,50,34,32,53,57,52,66,34,66,52,27,43,59,47,52,54,47,57,55,47,50,49,60,52,80,80,100,100,80,100,100,80,100,80,80,80,80,80,60,60,5,Ｃ,他の人がなんと言おうと自分で確信がもてるまで、決して行動には移さない慎重なところがある。軽はずみな行動は少なく、落ち着いた雰囲気と信頼感がある。また、努力を信条とし、何事も丹念に取り組んでいこうとする。出だしはそれほどでもないが、いつまでも持続させることができる。生活ぶりもキチンとしていて、物事は計画書を書いて実行するようなマメな人である。しかし、あくまでも一つのことに執着する頑固さではなく融通性も持っている。それほど規則や秩序を気にするわけでなく、状況に応じた判断ができる。世間の常識はわきまえていても、四角四面で固定的なものでなく、よき社会人として模範的な見方をされる。しかし、慎重であるがゆえ、問題が起こると必要以上に自分を責めることがある。その後は二度と同じ失敗をしないように考えすぎて、行動は控えめになることがある。もう少し、図太さがあり積極的にうってでるところがあると安心して見ていられるリーダーになる。しかし、手堅さや慎重さなど評価できる部分は多い。,53,43,44,55,53,50,48,49,58,45,43,0
684,0,２０〜２５才,男,72,54,47,51,50,66,55,44,37,65,68,52,63,46,43,36,59,56,66,34,66,52,32,58,50,44,64,48,51,52,74,64,50,49,64,69,80,100,100,80,100,100,100,80,100,80,100,100,100,80,40,60,9,Ｂ,軽はずみな行動はなく、常に慎重を期して物事に対処していく人である。自分の感情を極力抑え、落ち着いた感じがする。何事に対しても自分で納得がいくまでは、簡単に受け入れるような事はない。状況の変化に対しても徹底的に調べてから次の行動へ移る。そして、自分と他人を比較して考えることはあまりなく、人には思いやりをもって接しようとする。しかし、問題が起こるといつまでも取り越し苦労するような気弱な面もある。また、仕事にも生活にも几帳面で規則正しいといった印象がある。何事も地味だが、コツコツと最後まで丹念に取り組もうとする。瞬発力はないが、持続性が本領であり取り柄でもある。しかし、一時に没頭しすぎると、それがしつこさとして映ることもある。物事の判断は、世間のきまりや秩序などを大切にしているため、常識から逸脱した行動をとることは少ない。その意見やアイデアは手堅く、あまり大きな失敗はないが、社会通念にこだわりすぎて、斬新さや柔軟性を欠き、押し付けがましさが目立つところがある。,77,55,48,68,74,56,51,53,54,51,44,0
685,0,２０〜２５才,男,75,51,47,61,47,50,36,59,23,50,54,43,43,42,52,66,55,40,51,50,59,36,53,46,62,41,68,44,71,52,41,35,53,52,56,57,80,100,100,100,100,80,80,40,20,60,100,40,40,60,40,20,8,Ｄ,いつも活発に体を動かし、テキパキした行動で物事を解決していく人。身軽であり思いたった事は素早く実行に移すことができる。状況の変化にたやすくついていくことができ、実際的な活動場面に向いている。行動的ではあるが、情緒的にも安定し自分なりのリズムをもって生活をしている。手掛けた事を途中で放り出すといった気分屋なところは少なく、感覚的ではあるが、理詰めな考え方もできる。また、困難に直面すると外にうってでる外向的な人で、他者と競合させると実力以上の成果をあげることができる。そして、自分が主張したいことがあれば、先輩であろうと上司であろうと対等な議論、話し合いをする。そうした行為も、一見すると独善的に見えるが、自分だけが偉いといった思いあがりではない。協調性もあり、周囲への配慮をするなど世慣れたところもしっかりとそなえている。ややプライドが高く勝気な傾向も認められ、対人関係できつくなることもあるが、対外的には非常に頼りになり、慎重性と計画性があれば有能な人材といえる。,41,47,48,41,40,57,44,55,51,50,53,0
686,0,２０〜２５才,女,71,45,47,58,47,75,51,50,27,61,51,59,57,50,32,41,57,44,66,63,53,50,65,50,47,47,75,51,57,57,58,73,72,49,49,61,100,80,100,60,60,60,100,60,100,60,80,80,60,80,100,100,17,Ａ,単調な作業であっても、飽きずに長時間こなせる持続性がある。努力と忍耐をもって、目標に向かっていくといった傾向がある。一事に没頭する徹底性がみられ、人からはそれがしつこいと思われることもあるほどで、夢中になると他のことには目がいかなくなるところがある。几帳面だが、ガンコで堅物との印象もあり、社会の秩序を乱す行動は慎み、通俗的な道徳観の持ち主で、物事の判断もそれに沿ったものになる。とはいえ、規則やしきたりにこだわりすぎるというわけではなく、いつも普通の人でありたいと思う願望が常識的な行動をとらせている。また、状況を鵜呑みにせず、先が見えるまでアクションを起こさないという慎重さも本質のひとつである。感情を抑え、落ち着いた雰囲気で信頼される。しかし、問題が起こったりすると、小さなミスでもいつまでも気にかけたり、他の人はとっくに忘れてしまうような失敗を、いつまでも忘れられず悩んだりするところもある。できることだけを小さくまとめるため、思いきった積極的な行動はしない。,59,72,68,69,64,71,50,63,63,55,61,0
687,0,２０〜２５才,女,69,68,67,36,63,56,51,53,45,69,68,36,43,34,46,74,44,44,51,41,53,40,36,52,50,73,60,51,51,50,50,54,38,56,49,42,60,100,80,100,20,60,100,60,80,40,60,80,40,40,20,100,-7,Ｄ,過信せず、見通しがつくまで動かない慎重さが本質といえる。思いやりがあり、自分を抑える良さもあるが、問題が起こると自罰的傾向をとり、クヨクヨと取り越し苦労をする傾向がある。どちらかといえば、気弱で引っ込み思案の人である。神経が細かく過敏な性格で、人前にでると緊張し堅くなり、余裕がなくなると多少不安定な行動をとる可能性もある。できるだけ目立たず、隅のほうにいたいという感じで、自信をもった行動力が不足している。一般的には真面目で、一途な人に多くみられるが、ときに、その真面目さが、柔軟性に欠けていると人から見られる。そして、他人との交友関係なども進んでもつほうではなく、関心分野以外のことになると、かかわらないように殻に閉じこもろうとする。よくいえば、自分の内面的な世界の中で審美的な生き方をしているともとれる。ものの見方は客観的で的確に把握しようとする。人情に溺れることなく一歩距離をおいて接するため、冷たい印象を与えることもあるが自分自身については深く内省している。,42,29,35,49,32,32,40,44,44,50,35,0
688,0,２０〜２５才,男,66,45,55,58,47,56,44,44,50,65,46,36,43,30,46,83,64,56,71,59,56,63,53,46,50,36,60,58,54,70,64,57,65,46,52,61,100,100,100,100,80,80,100,100,100,100,100,100,100,100,60,80,10,Ａ,落ち着いた雰囲気もあり、何事もはっきりとした見通しがつくまで動かないという慎重さがみられる。また、斬新なアイデアがあるのかもしれないが、その評価の是非を気にするためか、慎重すぎるためか、自分の物差しの中でできる範囲内のことを限定して表現してしまう傾向がある。また、問題が起こると、何事もなかったようにあっさりと流してしまうときと、責任を一人で感じて、いつまでも悩んでしまうようなときとが交互にあらわれる。もう少し、失敗を恐れない図太さがあるとよいが、慎重さ手堅さは評価できる。反面、思いたったことは素早く実行するなど、ポジティブな行動をとることもできる。やや思索性に欠けるきらいがあるが、環境が変っても柔軟に適応することができ、体を動かして物事を解決しようとする。そして、情緒的にも安定していて、一定のリズムをもって生活している。発想も感覚的な部分はあるが、堅実で筋道をたてた理詰めな考え方をすることができる。もっと良い特性を前面に出せばリーダー格になりうる人である。,68,65,63,61,68,73,55,61,62,49,58,0
689,0,２０〜２５才,女,86,48,42,58,33,63,48,44,37,57,54,47,40,50,43,62,59,65,61,44,53,55,49,46,50,44,45,58,51,46,58,64,57,49,60,66,80,100,80,80,80,60,100,60,100,80,40,80,80,80,40,40,17,Ｂ,努力を信条とし、目標に向けて一生懸命に励む性格である。手掛けた事は丁寧に処理しキチンとしている。途中であきらめてしまうことは少なく、物事には粘り強く取り組んでいく忍耐力もある。見方によっては、それが執念深さとしてうつることもある。そして、独自の価値観にそった判断をしているが、発想は堅苦しいものばかりではなく、ユニークさも持ちあわせている。自分の考えはあらかじめ用意しているが、いろいろな計画を立てるときは、自分だけの勝手な判断で決定するのではなく、他人の意見も取入れながら考えていこうとする。また、身が軽く体を動かして物事を解決していくところもある。だからといって、思いついたら何も考えずに即実行といった軽薄さや、気分で行動したりすることは少ないため大きな失敗はあまりない。新しい環境の変化にもそれほど時間をかけずに適応することができる。場や雰囲気にのまれることなく、精神的にも安定している。まれに感情的になってしまうこともあるが、人情もろくてお人好しな性格である。,74,54,53,59,71,57,57,54,57,50,54,0
690,0,２０〜２５才,男,50,54,55,58,50,50,48,48,37,73,59,52,47,38,49,50,43,31,51,44,41,28,53,50,50,54,64,30,51,46,38,39,48,49,34,54,100,80,80,60,60,60,80,60,80,60,40,60,60,60,60,60,4,Ｄ,過信せず、見通しがつくまで動かない慎重さがこの人の本質である。思いやりがあり、自分をおさえる良さがあるが、問題がおこると自罰的傾向をとり、くよくよと取り越し苦労する面も。気弱で引っ込み思案の人である。自分に自信がなく、快活な面がみられない。神経が細かく過敏な性格で、人前では緊張してかたくなりがちである。余裕がなくなると、多少不安定な行動をとる可能性もでる。一般的にはまじめで一途な人が多いが、柔軟性に欠けおおらかさがない。,43,32,41,42,40,43,36,51,46,56,48,0
691,0,２０〜２５才,男,80,82,63,30,50,59,48,53,45,81,59,50,67,50,35,36,43,26,66,47,47,32,36,50,51,59,52,41,54,52,41,31,48,46,45,30,60,80,100,100,100,60,60,60,60,40,40,100,80,80,40,100,0,Ｄ,空想癖があり、自分の殻にこもってしまうことがある。それは自己の内面的世界で遊び、美的な生き方をしているあらわれでもある。独自な価値観の持ち主であるといえ、自分を含めて環境を客観的にとらえる傾向が強く、物事をあるがままに把握しようとする。性格的にうつる印象として、やや暗いという感じも受けるが、自分自身について深く内省していて、よく話をしてみると、その豊かな内面性を垣間見ることができる。また、過信することなく、石橋を叩いて渡るような慎重性が本質といえる。思いやりがあり自分をおさえる良さがあるのだが、自分でどうしようもない問題が起こると必要以上に自分の責任を背負い、くよくよと取り越し苦労するといった気弱で引っ込み思案な面もある。神経が細かく過敏なため、人前では緊張してしまうことがあり、快活に振る舞ことをあまり得意としない。そして、気持ちに余裕がなくなってしまうと、多少不安定な行動をとる可能性もある。一般的にはまじめで一途な人に多いが、柔軟性に欠け大らかさがない。,46,28,33,52,37,36,30,46,51,52,44,0
692,0,２０〜２５才,男,66,68,71,39,50,48,36,65,41,69,62,36,50,38,46,78,44,35,55,34,72,40,36,39,57,54,45,41,50,46,35,39,57,46,60,47,60,80,100,80,100,100,100,40,100,60,60,100,80,60,40,60,3,Ｄ,空想癖があり、自分の殻にこもってしまうことがある。それは自己の内面的世界で遊び、美的な生き方をしているあらわれでもある。独自な価値観の持ち主であるといえ、自分を含めて環境を客観的にとらえる傾向が強く、物事をあるがままに把握しようとする。性格的にうつる印象として、やや暗いという感じも受けるが、自分自身について深く内省していて、よく話をしてみると、その豊かな内面性を垣間見ることができる。また、過信することなく、石橋を叩いて渡るような慎重性が本質といえる。思いやりがあり自分をおさえる良さがあるのだが、自分でどうしようもない問題が起こると必要以上に自分の責任を背負い、くよくよと取り越し苦労するといった気弱で引っ込み思案な面もある。神経が細かく過敏なため、人前では緊張してしまうことがあり、快活に振る舞ことをあまり得意としない。そして、気持ちに余裕がなくなってしまうと、多少不安定な行動をとる可能性もある。一般的にはまじめで一途な人に多いが、柔軟性に欠け大らかさがない。,38,33,33,47,33,41,35,46,48,47,44,0
693,0,５６才以上,女,58,75,38,20,59,48,48,48,53,57,54,40,43,30,43,74,44,35,51,47,53,40,41,55,50,51,52,44,57,43,41,35,48,49,45,36,60,60,80,60,60,100,100,60,60,60,40,60,20,60,20,60,-5,Ｅ,独自の価値観や考えを大切にし、自己の中にある物差しの中で生きている。自分以外のことにはあまり興味がなく、他人との接触に対しても積極的とはいえない。交友関係などは面倒だと思い、進んで広げていくのは得意ではない。しかし、自分が付き合ってみようと決めた友人とは、深い交友関係を形成する。ときに、漂々とした生活を好み、つかみどころがないという印象を他人に与えてしまうことがある。そして、独自の尺度のなかで、主観的に物事を判断しようとする傾向がある。本来、身軽にテキパキと活動するよりも、じっと落ち着いて考え込むことを好んでいるが、かといって、自分と厳しく向かいあっているという感じでもない。また、安定した状況を好み、転地や転勤などの新しい環境への適応性があるとはいえない。ただ、しばらくすると順応性があったのかと錯覚をするほど、馴染んでしまうようになる。気分に周期性が見られ、調子に乗って仕事をしていたかと思うときと、気が向かないために何もしないときの波がハッキリしている。,38,25,27,40,31,23,41,44,47,51,45,0
694,内定,２０〜２５才,女,76,71,63,39,38,66,55,50,45,73,46,43,40,42,55,70,49,56,66,53,59,52,57,52,50,47,64,51,41,63,61,68,53,49,64,50,100,100,100,80,80,80,100,60,100,60,60,100,60,80,40,80,10,Ｂ,見通しがつくまで動かない慎重さが本質といえる。物事を軽率に判断したり、現実以上に高く評価するようなことも少ない。また、思いやりがあり自分を抑えるよさがあるが、なにか問題が起こると自罰的になり、いつまでもクヨクヨとしてしまう弱気なところもある。控えめな性格であり、自分にできることだけを小さく内々に表現しようとし、失敗したときのことを心配しすぎて、思いきった果敢な行動には移れない。遠慮がちではあるが、病的な暗さというほどではない。また、煩わしい人間関係はできるだけ避けていたいと考えている。どちらかといえば、周囲のことをあれこれと考えるよりも自己の世界に内閉し、その世界をより充実させたいと望み、美的な生き方をしようとしている。なんとなくつかみどころのない漂々とした生活ぶりで、空想癖があったりもする。物事をあるがままに客観的にとらえようとする傾向より、やや主観的に判断することのほうが多い。自分に自信をもち、もう少し図太さなどがあると持ち味の慎重特性がいきてくる。,71,48,44,67,63,54,45,57,57,48,55,0
695,0,５６才以上,男,87,85,89,20,50,53,48,50,41,81,87,40,67,42,49,41,43,35,71,28,56,28,36,43,57,81,64,37,50,50,52,54,42,56,56,39,60,100,100,100,100,80,80,80,80,80,20,100,80,80,20,80,-3,Ｄ,空想癖があり、自分の殻にこもってしまうことがある。それは自己の内面的世界で遊び、美的な生き方をしているあらわれでもある。独自な価値観の持ち主であるといえ、自分を含めて環境を客観的にとらえる傾向が強く、物事をあるがままに把握しようとする。性格的にうつる印象として、やや暗いという感じも受けるが、自分自身について深く内省していて、よく話をしてみると、その豊かな内面性を垣間見ることができる。また、過信することなく、石橋を叩いて渡るような慎重性が本質といえる。思いやりがあり自分をおさえる良さがあるのだが、自分でどうしようもない問題が起こると必要以上に自分の責任を背負い、くよくよと取り越し苦労するといった気弱で引っ込み思案な面もある。神経が細かく過敏なため、人前では緊張してしまうことがあり、快活に振る舞ことをあまり得意としない。そして、気持ちに余裕がなくなってしまうと、多少不安定な行動をとる可能性もある。一般的にはまじめで一途な人に多いが、柔軟性に欠け大らかさがない。,41,36,33,53,37,38,25,45,44,46,35,0
696,0,２０〜２５才,男,70,58,42,43,47,53,51,32,45,78,62,52,57,34,40,46,37,35,71,28,32,32,36,55,42,54,52,33,47,46,58,43,38,39,26,36,40,80,100,80,80,60,80,80,80,40,60,80,40,60,40,60,3,Ｄ,過信せず、見通しがつくまで動かない慎重さがこの人の本質である。思いやりがあり、自分をおさえる良さがあるが、問題がおこると自罰的傾向をとり、くよくよと取り越し苦労する面も。気弱で引っ込み思案の人である。自分に自信がなく、快活な面がみられない。神経が細かく過敏な性格で、人前では緊張してかたくなりがちである。余裕がなくなると、多少不安定な行動をとる可能性もでる。一般的にはまじめで一途な人が多いが、柔軟性に欠けおおらかさがない。,48,21,19,46,40,23,40,42,47,60,40,0
697,0,２０〜２５才,女,80,48,50,61,59,53,48,71,45,61,54,56,50,42,40,62,57,65,46,47,59,63,45,55,51,67,64,54,51,55,44,47,61,49,64,64,80,100,80,100,80,80,80,60,80,80,60,60,60,80,40,60,0,Ｃ,何事も自分から進んでテキパキと処理し、解決させていく積極性がある。特に、競合的な場面になると闘争心がわき、思った以上の結果をもたらすことがある。問題が起こったり、困った時なども決してあきらめることはなく、自分なりの解決策をもって行動する。実力を認めてもらいたいという自己顕示欲も旺盛である。しかし、自分だけが偉いといった独善性はなく、人とも協調する気遣いがみられる。ときに実力主義的な発言があるものの、非情さを感じさせるほどのものではない。また、身が軽く思いたったことを素早く実行することができる。行動はテキパキしていて、体を動かして物事を解決しようとする。環境への適応力もあり、状況の変化にも柔軟な対応ができる。行動的ではあるが、情緒的にも安定しており、一定のリズムを保ちながら生活している。手掛けた事を途中で放り出すような無責任なところも目立たない。発想も定型的なものではなく、実現性に問題はあるが、突飛な思い付きもありユニークさを感じさせる。可能性ある人材である。,41,59,57,51,58,58,56,55,52,49,45,0
698,0,２０〜２５才,男,66,61,59,39,50,36,66,44,41,85,71,43,50,38,49,62,28,31,42,38,34,28,61,65,44,73,43,37,47,43,61,57,19,49,45,33,40,80,60,100,100,60,40,40,80,40,20,40,60,40,40,60,-7,Ｄ,過信せず、見通しがつくまで動かない慎重さがこの人の本質である。思いやりがあり、自分をおさえる良さがあるが、問題がおこると自罰的傾向をとり、くよくよと取り越し苦労する面も。気弱で引っ込み思案の人である。自分に自信がなく、快活な面がみられない。神経が細かく過敏な性格で、人前では緊張してかたくなりがちである。余裕がなくなると、多少不安定な行動をとる可能性もでる。一般的にはまじめで一途な人が多いが、柔軟性に欠けおおらかさがない。,52,22,25,54,41,20,35,37,30,57,39,0
